FAC	DEC	HEX
US	0	00
CL	1	01
AD	2	02
DM	3	03
OP	4	04
PS	5	05
QE	6	06
QS	7	07
RD	8	08
SC	9	09
UL	10	0A
DU	11	0B
GC	12	0C
RQ	13	0D
TP	14	0E
GW	15	0F
AF	32	20
FM	33	21
UI	34	22
AB	40	28
AR	41	29
AS	42	2A
CA	44	2C
AM	45	2D
OR	47	2F
IT	49	31
O2	52	34
OS	53	35
FC	54	36
FD	55	37
FR	57	39
TB	58	3A
FV	60	3C
FT	61	3D
GT	62	3E
LS	63	3F
TD	66	42
VT	67	43
GP	69	45
GR	72	48
RG	75	4B
VG	76	4C
CD	78	4E
CF	79	4F
DE	80	50
IC	83	53
IM	84	54
PF	87	57
TU	88	58
UD	89	59
XF	90	5A
QF	91	5B
RC	92	5C
RF	93	5D
RW	94	5E
SR	96	60
MF	97	61
MO	98	62
QR	99	63
QG	134	86
OO	135	87
UF	136	88
UG	137	89
VF	139	8B
EQ	140	8C
E0	141	8D
E1	142	8E
E2	143	8F
E3	144	90
E4	145	91
E5	146	92
E6	147	93
LQ	151	97
LC	152	98
C6	160	A0
FE	161	A1
DC	162	A2
VQ	169	A9
CG	170	AA
FG	173	AD
AI	174	AE
A6	175	AF
TL	178	B2
M1	179	B3
MC	180	B4
FI	181	B5
CU	182	B6
AC	183	B7
CO	184	B8
MT	185	B9
OM	189	BD
DD	205	CD
